mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
덩케르크,Dunkirk,20164621,2017,미국(1),장편,액션(3),개봉,크리스토퍼 놀란,4.5
컨택트,Arrival,20179281,2016,미국,장편,SF(2),개봉,드니 빌뇌브,4.5
노무현입니다,OUR PRESIDENT,20174602,2017,한국,장편,다큐멘터리,개봉,이창재,4.5
미녀와 야수,Beauty and the Beast,19920231,1991,미국,장편,애니메이션(2),개봉,게리 트러스데일,4.5
빽 투 더 퓨쳐,Back To The Future,19870114,1985,미국,장편,SF(2),개봉,로버트 저메키스,4.5
주토피아,Zootopia,20155501,2015,미국,장편,애니메이션(2),개봉,바이론 하워드,4.5
귀향,,20161364,2015,한국,장편,드라마,개봉,조정래,4.5
내부자들,Inside Men,20149314,2015,한국,장편,범죄(1),개봉,우민호,4.5
검은 사제들,The Priests,20145503,2015,한국,장편,미스터리(1),개봉,장재현,4.5
베테랑,Veteran,20148048,2014,한국,장편,액션(1),개봉,류승완,4.5
우리 선희,Our Sunhi,20137041,2012,한국,장편,드라마,개봉,홍상수,4.5
007 스카이폴,SKYFALL,20113461,2011,미국(1),장편,액션,개봉,샘 멘데스,4.5
"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,20128588,2011,대만,장편,멜로/로맨스,개봉,구파도,4.5
아메리칸 스나이퍼,American Sniper,20143754,2014,미국,장편,액션,개봉,클린트 이스트우드,4.5
콘택트,Contact,19970283,1997,미국,장편,SF(2),개봉,로버트 저메키스,4.5
붉은 가족,Red Family,20135405,2013,한국,장편,드라마(1),개봉,이주형,4.5
블러드 다이아몬드,The Blood Diamond,20060413,2006,미국,장편,드라마(1),개봉,에드워드 즈윅,4.5
킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,20140110,2014,미국(1),장편,액션(1),개봉,매튜 본,4.5
"가장 따뜻한 색, 블루",Blue Is The Warmest Color,20136292,2013,프랑스,장편,드라마(1),개봉,압델라티프 케시시,4.5
시,Poetry,20100191,2010,한국,장편,드라마,개봉,이창동,4.5
장고:분노의 추적자,Django Unchained,20126306,2012,미국,장편,서부극(웨스턴)(1),개봉,쿠엔틴 타란티노,4.5
보이후드,Boyhood,20149910,2014,미국,장편,드라마,개봉,리차드 링클레이터,4.5
시간,Time,20060228,2006,한국,장편,드라마,개봉,김기덕,4.5
더 울프 오브 월스트리트,THE WOLF OF WALL STREET,20136812,2013,미국,장편,범죄(1),개봉,마틴 스코세이지,4.5
그랜드 부다페스트 호텔,The Grand Budapest Hotel,20147727,2014,미국(1),장편,미스터리(1),개봉,웨스 앤더슨,4.5
그녀,Her,20148748,2013,미국,장편,드라마(1),개봉,스파이크 존즈,4.5
그래비티,Gravity,20139221,2013,미국,장편,SF(1),개봉,알폰소 쿠아론,4.5
아이덴티티,Identity,20030247,2003,미국,장편,범죄(1),개봉,제임스 맨골드,4.5
본 슈프리머시,The Bourne Supremacy,20040615,2004,미국,장편,액션,개봉,폴 그린그래스,4.5
다크 나이트 라이즈,The Dark Knight Rises,20112703,2012,미국(1),장편,액션(2),개봉,크리스토퍼 놀란,4.5
행오버,The Hangover,20098221,2009,미국,장편,코미디(1),기타,토드 필립스,4
머니볼,Moneyball,20112311,2011,미국,장편,드라마,개봉,베넷 밀러,4
지푸라기라도 잡고 싶은 짐승들,BEASTS CLAWING AT STRAWS,20180962,2018,한국,장편,스릴러(1),개봉,김용훈,4
나이브스 아웃,KNIVES OUT,20198430,2018,미국,장편,미스터리(1),개봉,라이언 존슨,4
남산의 부장들,The Man Standing Next,20180939,2019,한국,장편,드라마,개봉,우민호,4
그때 그 사람들,,20050007,2005,한국,장편,미스터리(1),개봉,임상수,4
포드 V 페라리,FORD v FERRARI,20192401,2019,미국,장편,액션(1),개봉,제임스 맨골드,4
애드 아스트라,AD ASTRA,20192982,2019,미국,장편,SF(1),개봉,제임스 그레이,4
겨울왕국 2,Frozen 2,20197803,2019,미국,장편,애니메이션,개봉,크리스 벅,4
샘,Saem,20174264,2017,한국,장편,멜로/로맨스(2),개봉,황규일,4
비포 선라이즈,Before Sunrise,19960126,1995,미국(2),장편,멜로/로맨스(1),개봉,리차드 링클레이터,4
원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,20199446,2019,미국,장편,드라마(1),개봉,쿠엔틴 타란티노,4
"조제, 호랑이 그리고 물고기들","Josee, The Tiger And The Fish",20040703,2003,일본,장편,드라마,개봉,이누도 잇신,4
우리들,The World of Us,20153450,2016,한국,장편,드라마,개봉,윤가은,4
펀치 드렁크 러브,Punch Drunk Love,20030060,2002,미국,장편,멜로/로맨스(1),개봉,폴 토마스 앤더슨,4
칠드런 오브 맨,Children Of Men,20068730,2006,영국(1),장편,SF(2),개봉,,4
악인전,"The Gangster, The Cop, The Devil",20188941,2019,한국,장편,범죄(1),개봉,이원태,4
스카우트,Scout,20070504,2007,한국,장편,드라마(1),개봉,김현석,4
아사코,Asako I & II,20181200,2017,일본,장편,드라마,개봉,류스케 하마구치,4
로마,ROMA,20184091,2018,멕시코,장편,드라마,개봉,알폰소 쿠아론,4
스윙키즈,Swing Kids,20175547,2018,한국,장편,드라마,개봉,강형철,4
박하사탕,A Peppermint Candy,19990050,1999,한국,장편,드라마,개봉,이창동,4
아쿠아맨,AQUAMAN,20180290,2018,미국(1),장편,액션,개봉,제임스 완,4
